Country,State,County,Population,Metropolitan Area
United States,Alabama,Pickens,19401,"Tuscaloosa, AL"
United States,Alabama,Tuscaloosa,200821,"Tuscaloosa, AL"
United States,Idaho,Jerome,22514,"Twin Falls, ID"
United States,Idaho,Twin Falls,79957,"Twin Falls, ID"
United States,Texas,Smith,216080,"Tyler, TX"
United States,California,Mendocino,87192,"Ukiah, CA"
United States,Kentucky,Fulton,6385,"Union City, TN-KY"
United States,Tennessee,Obion,31131,"Union City, TN-KY"
United States,Hawaii,Honolulu,983429,"Urban Honolulu, HI"
United States,Ohio,Champaign,39455,"Urbana, OH"
United States,New York,Herkimer,64181,"Utica-Rome, NY"
United States,New York,Oneida,233585,"Utica-Rome, NY"
United States,Texas,Uvalde,26926,"Uvalde, TX"
United States,Georgia,Brooks,15516,"Valdosta, GA"
United States,Georgia,Echols,4057,"Valdosta, GA"
United States,Georgia,Lanier,10408,"Valdosta, GA"
United States,Georgia,Lowndes,112916,"Valdosta, GA"
United States,California,Solano,424788,"Vallejo-Fairfield, CA"
United States,Alabama,Chambers,34162,"Valley, AL"
United States,Ohio,Van Wert,28459,"Van Wert, OH"
United States,South Dakota,Clay,13935,"Vermillion, SD"
United States,Utah,Uintah,35555,"Vernal, UT"
United States,Texas,Wilbarger,13131,"Vernon, TX"
United States,Mississippi,Claiborne,9253,"Vicksburg, MS"
United States,Mississippi,Warren,48218,"Vicksburg, MS"
United States,Texas,Goliad,7465,"Victoria, TX"
United States,Texas,Victoria,90028,"Victoria, TX"
United States,Georgia,Montgomery,9021,"Vidalia, GA"
United States,Georgia,Toombs,27273,"Vidalia, GA"
United States,Indiana,Knox,37954,"Vincennes, IN"
United States,New Jersey,Cumberland,157332,"Vineland-Bridgeton, NJ"
United States,Massachusetts,Dukes,17256,"Vineyard Haven, MA"
United States,North Carolina,Currituck,24396,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,North Carolina,Gates,11650,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Gloucester,36834,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Isle of Wight,35656,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,James City,70516,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Mathews,8897,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,York,66269,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Chesapeake,230571,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Hampton,136699,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Newport News,182020,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Norfolk,246139,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Poquoson,12104,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Portsmouth,96205,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Suffolk,85728,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Virginia Beach,448479,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,Virginia,Williamsburg,15206,"Virginia Beach-Norfolk-Newport News, VA-NC"
United States,California,Tulare,454143,"Visalia-Porterville, CA"
United States,Indiana,Wabash,32358,"Wabash, IN"
United States,Texas,Falls,17493,"Waco, TX"
United States,Texas,McLennan,241481,"Waco, TX"
United States,Minnesota,Wilkin,6557,"Wahpeton, ND-MN"
United States,North Dakota,Richland,16339,"Wahpeton, ND-MN"
United States,Washington,Columbia,4032,"Walla Walla, WA"
United States,Washington,Walla Walla,59530,"Walla Walla, WA"
United States,Ohio,Auglaize,45920,"Wapakoneta, OH"
United States,Georgia,Houston,147658,"Warner Robins, GA"
United States,Georgia,Peach,27014,"Warner Robins, GA"
United States,Georgia,Pulaski,11542,"Warner Robins, GA"
United States,Pennsylvania,Warren,40885,"Warren, PA"
United States,Missouri,Johnson,54572,"Warrensburg, MO"
United States,Indiana,Kosciusko,77963,"Warsaw, IN"
United States,Ohio,Fayette,28800,"Washington Court House, OH"
United States,District of Columbia,District of Columbia,646449,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Maryland,Calvert,90484,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Maryland,Charles,152864,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Maryland,Frederick,241409,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Maryland,Montgomery,1016677,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Maryland,Prince George's,890081,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Arlington,224906,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Clarke,14348,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Culpeper,48506,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Fairfax,1130924,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Fauquier,67207,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Loudoun,349679,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Prince William,438580,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Rappahannock,7478,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Spotsylvania,127348,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Stafford,136788,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Warren,38699,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Alexandria,148892,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Fairfax City,23973,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Falls Church,13508,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Fredericksburg,28132,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Manassas,41705,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Virginia,Manassas Park,16149,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,West Virginia,Jefferson,55073,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
United States,Indiana,Daviess,32407,"Washington, IN"
United States,North Carolina,Beaufort,47464,"Washington, NC"
United States,Iowa,Black Hawk,132546,"Waterloo-Cedar Falls, IA"
United States,Iowa,Bremer,24624,"Waterloo-Cedar Falls, IA"
United States,Iowa,Grundy,12314,"Waterloo-Cedar Falls, IA"
United States,Wisconsin,Jefferson,84509,"Watertown-Fort Atkinson, WI"
United States,New York,Jefferson,119504,"Watertown-Fort Drum, NY"
United States,South Dakota,Codington,27853,"Watertown, SD"
United States,Florida,Hardee,27519,"Wauchula, FL"
United States,Wisconsin,Marathon,135416,"Wausau, WI"
United States,Georgia,Pierce,18938,"Waycross, GA"
United States,Georgia,Ware,35709,"Waycross, GA"
United States,Oklahoma,Custer,29377,"Weatherford, OK"
