Country,State,Date,ConfirmedCases,ConfirmedDeaths,
Azerbaijan,All,2/26/20,0,0,
Azerbaijan,All,2/27/20,0,0,
Azerbaijan,All,2/28/20,0,0,
Azerbaijan,All,2/29/20,1,0,
Azerbaijan,All,3/1/20,1,0,
Azerbaijan,All,3/2/20,3,0,
Azerbaijan,All,3/6/20,6,0,
Azerbaijan,All,3/7/20,9,0,
Azerbaijan,All,3/11/20,11,0,
Azerbaijan,All,3/12/20,13,0,
Azerbaijan,All,3/13/20,13,0,
Azerbaijan,All,3/15/20,19,0,
Azerbaijan,All,3/16/20,19,0,
Azerbaijan,All,3/17/20,19,0,
Azerbaijan,All,3/18/20,28,0,
Bahamas,All,3/16/20,1,0,
Bahamas,All,3/17/20,1,0,
Bahrain,All,12/31/19,0,0,
Bahrain,All,1/1/20,0,0,
Bahrain,All,1/2/20,0,0,
Bahrain,All,1/3/20,0,0,
Bahrain,All,1/4/20,0,0,
Bahrain,All,1/5/20,0,0,
Bahrain,All,1/6/20,0,0,
Bahrain,All,1/7/20,0,0,
Bahrain,All,1/8/20,0,0,
Bahrain,All,1/9/20,0,0,
Bahrain,All,1/10/20,0,0,
Bahrain,All,1/11/20,0,0,
Bahrain,All,1/12/20,0,0,
Bahrain,All,1/13/20,0,0,
Bahrain,All,1/14/20,0,0,
Bahrain,All,1/15/20,0,0,
Bahrain,All,1/16/20,0,0,
Bahrain,All,1/17/20,0,0,
Bahrain,All,1/18/20,0,0,
Bahrain,All,1/19/20,0,0,
Bahrain,All,1/20/20,0,0,
Bahrain,All,1/21/20,0,0,
Bahrain,All,1/22/20,0,0,
Bahrain,All,1/23/20,0,0,
Bahrain,All,1/24/20,0,0,
Bahrain,All,1/25/20,0,0,
Bahrain,All,1/26/20,0,0,
Bahrain,All,1/27/20,0,0,
Bahrain,All,1/28/20,0,0,
Bahrain,All,1/29/20,0,0,
Bahrain,All,1/30/20,0,0,
Bahrain,All,1/31/20,0,0,
Bahrain,All,2/1/20,0,0,
Bahrain,All,2/2/20,0,0,
