country,state,population,rInitial,cfrInitial,flatteningDate,source,notes,continent
Mauritius,All,1380000,,,2020-03-20,,,Africa
Mexico,All,128650000,,,2020-03-29,,,North America
Moldova,All,3365000,,,2020-03-17,,,Europe
Monaco,All,31000,,,,,,Europe
Mongolia,All,3169000,,,,,,Asia
Montenegro,All,640000,,,,,,Europe
Montserrat,All,6000,,,,,,North America
Morocco,All,34956000,,,,,,Africa
Mozambique,All,28604000,,,2020-03-22,,Only at -32%,Africa
Myanmar,All,59126000,,,2020-03-27,,,Asia
Namibia,All,2263000,,,2020-03-27,,,Africa
Nauru,All,10000,,,,,,Oceania
Nepal,All,34209000,,,2020-03-23,,,Asia
Netherlands,All,17281000,,,2020-03-19,,,Europe
New Caledonia,All,291000,,,,,,
New Zealand,All,4715000,,,2020-03-23,,,Oceania
Nicaragua,All,6204000,,,2020-03-22,,,North America
Niger,All,21152000,,,2020-03-29,,Only -23%,Africa
Nigeria,All,204950000,,,2020-03-27,,,Africa
North Korea,All,25644000,,,,,,Asia
North Macedonia,All,2113000,,,2020-03-14,,,Europe
Northern Mariana Islands,All,58000,,,,,,
Norway,All,5468000,,,2020-03-14,,,Europe
Oman,All,3635000,,,2020-03-20,,,Asia
Pakistan,All,213720000,,,2020-03-22,,,Asia
Palau,All,22000,,,,,,Oceania
Palestinian territories,All,5181000,,,,,,Asia
Panama,All,3895000,,,2020-03-20,,,North America
Papua New Guinea,All,7260000,,,2020-03-24,,Only -19%,Oceania
Paraguay,All,7192000,,,2020-03-15,,,South America
Peru,All,31915000,,,2020-03-17,,,South America
Philippines,All,109181000,,,2020-03-17,,,Asia
Poland,All,38283000,,,2020-03-15,,,Europe
Portugal,All,10843000,,,2020-03-15,,,Europe
Puerto Rico,All,3520000,,,2020-03-15,,,North America
Qatar,All,2445000,,,2020-03-20,,,Asia
Republic of the Congo,All,5294000,,,,,,Africa
Romania,All,21303000,,,2020-03-18,,,Europe
Russia,All,145723000,,,,,,Europe
Rwanda,All,14328000,,,2020-03-22,,,Africa
Saint Helena,All,8000,,,,,,North America
Saint Kitts and Nevis,All,54000,,,,,,North America
Saint Lucia,All,167000,,,,,,North America
Saint Martin,All,33000,,,,,,North America
Saint Pierre and Miquelon,All,6000,,,,,,North America
Saint Vincent and the Grenadines,All,102000,,,,,,North America
Samoa,All,204000,,,,,,Oceania
San Marino,All,35000,,,,,,Europe
Saudi Arabia,All,29819000,,,2020-03-22,,,Asia
Senegal,All,15737000,,,2020-03-24,,,Africa
Serbia,All,7013000,,,,,,Europe
Seychelles,All,96000,,,,,,Africa
Sierra Leone,All,6625000,,,,,,Africa
Singapore,All,6210000,,,2020-02-01,,Only -23%,Asia
Sint Maarten,All,44000,,,,,,
Slovakia,All,5441000,,,2020-03-13,,,Europe
Slovenia,All,1952000,,,2020-03-14,,,Europe
Solomon Islands,All,686000,,,,,,Oceania
Somalia,All,11758000,,,,,,Africa
South Africa,All,56464000,,,2020-03-27,,,Africa
South Korea,All,49362000,1.5,,2020-02-15,,,Asia
South Sudan,All,14559000,,,,,,Africa
Spain,All,50016000,,,2020-03-15,,,Europe
Sri Lanka,All,22890000,,,2020-03-20,,,Asia
Sudan,All,41131000,,,,,,Africa
Suriname,All,610000,,,,,,South America
Sweden,All,10203000,,,2020-03-15,,Only -25%,Europe
Switzerland,All,8404000,,,2020-03-17,,,Europe
Syria,All,22347000,,,,,,Asia
Taiwan,All,23604000,,,2020-02-01,,No lockdown,Asia
Tajikistan,All,8874000,,,,,,Asia
Tanzania,All,58553000,,,2020-04-05,,Only -20%,Africa
Thailand,All,68978000,,,2020-03-24,,,Asia
Timor-Leste,All,1384000,,,,,,
Togo,All,8609000,,,2020-03-29,,Only -42%,Africa
Tonga,All,107000,,,,,,Oceania
Trinidad and Tobago,All,1209000,,,2020-03-29,,,North America
Tunisia,All,11495000,,,,,,Africa
Turkey,All,82018000,,,2020-03-20,,,Asia
Turkmenistan,All,5929000,,,,,,Asia
Turks and Caicos Islands,All,56000,,,,,,North America
Tuvalu,All,12000,,,,,,Oceania
Uganda,All,43518000,,,2020-03-27,,,Africa
Ukraine,All,43923000,,,,,,Europe
United Arab Emirates,All,6496000,,,2020-03-20,,,Asia
United Kingdom,All,65762000,,,2020-03-19,,,Europe
United States,Atlanta Metro,5549211,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Austin Metro,1883051,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Baltimore Metro,2770738,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Birmingham Metro,1140300,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Boston Metro,4684299,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Buffalo Metro,1134115,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Charlotte Metro,2421218,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Chicago Metro,9537289,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Cincinnati Metro,2137406,,,2020-03-23,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Cleveland Metro,2064725,,,2020-03-23,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,"Columbus, OH Metro",1967066,,,2020-03-23,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Dallas Fort-Worth Metro,6810913,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Denver Metro,2697476,,,2020-03-18,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Detroit Metro,4294983,,,2020-03-19,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Grand Rapids Metro,1016603,,,2020-03-19,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Hartford Metro,1215211,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Houston Metro,6313158,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Indianapolis Metro,1953961,,,2020-03-23,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Jacksonville Metro,1394624,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Kansas City Metro,2054473,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Las Vegas Metro,2027868,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Los Angeles Metro,18788800,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Louisville Metro,1262261,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Memphis Metro,1341746,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Miami Metro,5828191,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Milwaukee Metro,1569659,,,2020-03-21,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Minneapolis Metro,3459146,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Nashville Metro,1757912,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,New Orleans Metro,1240977,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,New York Metro,20320876,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Oklahoma City Metro,1319677,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Orlando Metro,2267846,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Philadelphia Metro,6034678,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Phoenix Metro,4398762,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Pittsburgh Metro,2360867,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Portland Metro,2314554,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Providence Metro,1604291,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Raleigh Metro,1312430,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Richmond Metro,1245764,,,2020-03-21,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Rochester Metro,1083278,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Sacramento Metro,2215770,,,2020-03-19,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Salt Lake City Metro,1140483,,,2020-03-21,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,San Antonio Metro,2277550,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,San Diego Metro,3211252,,,2020-03-19,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,San Francisco Metro,7750000,,,2020-03-17,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,San Juan Metro,2478905,,,,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Seattle Metro,3610105,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,St. Louis Metro,2801056,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Tampa Metro,2870569,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Virginia Beach Metro,1707369,,,2020-03-21,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Washington DC Metro,5949859,,,2020-03-17,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Alabama,4903185,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Alaska,731545,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,All,334504000,,,2020-03-28,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,American Samoa,55641,,,,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Arizona,7278717,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Arkansas,3017825,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,California,39512223,,,2020-03-19,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Colorado,5758736,,,2020-03-18,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Connecticut,3565287,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Delaware,973764,,,2020-03-24,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,District of Columbia,705749,,,2020-03-17,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Florida,21477737,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Georgia,10617423,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Guam,165718,,,,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Hawaii,1415872,,,2020-03-23,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Idaho,1792065,,,2020-03-25,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Illinois,12671821,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Indiana,6732219,,,2020-03-23,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Iowa,3155070,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Kansas,2913314,,,2020-03-28,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Kentucky,4467673,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Louisiana,4648794,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Maine,1344212,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Maryland,6045680,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Massachusetts,6949503,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Michigan,9986857,,,2020-03-19,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Minnesota,5639632,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Mississippi,2976149,,,2020-04-01,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Missouri,6137428,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Montana,1068778,,,2020-03-21,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Nebraska,1934408,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Nevada,3080156,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,New Hampshire,1359711,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,New Jersey,8882190,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,New Mexico,2096829,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,New York,19453561,3,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,North Carolina,10488084,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,North Dakota,762062,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Northern Mariana Islands,55194,,,,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Ohio,11689100,,,2020-03-23,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Oklahoma,3956971,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Oregon,4217737,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Pennsylvania,12801989,,,2020-03-20,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Puerto Rico,3193694,,,,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
United States,Rhode Island,1059361,,,2020-03-22,https://www.gstatic.com/covid19/mobility/2020-04-05_US_Mobility_Report_en.pdf,,North America
